DistrictID,DistrictName,PoliceStationID,PoliceStationName,StationLatitude,StationLongitude,StationPopulation,CoordinateAdjustedToLand
1,Bengaluru Urban,1001,Bengaluru Urban PS 1,12.970406,77.700716,275175,False
1,Bengaluru Urban,1002,Bengaluru Urban PS 2,13.017587,77.679321,249052,False
1,Bengaluru Urban,1003,Bengaluru Urban PS 3,13.035685,77.63007,342589,False
1,Bengaluru Urban,1004,Bengaluru Urban PS 4,13.088527,77.607916,226368,False
1,Bengaluru Urban,1005,Bengaluru Urban PS 5,13.063518,77.548928,301698,False
1,Bengaluru Urban,1006,Bengaluru Urban PS 6,13.00739,77.513431,225264,False
1,Bengaluru Urban,1007,Bengaluru Urban PS 7,12.973358,77.51782,214810,False
1,Bengaluru Urban,1008,Bengaluru Urban PS 8,12.933208,77.455605,302668,False
1,Bengaluru Urban,1009,Bengaluru Urban PS 9,12.861074,77.515412,208078,False
1,Bengaluru Urban,1010,Bengaluru Urban PS 10,12.853713,77.608965,261122,False
1,Bengaluru Urban,1011,Bengaluru Urban PS 11,12.889892,77.638443,278505,False
1,Bengaluru Urban,1012,Bengaluru Urban PS 12,12.895157,77.72244,200281,False
2,Belagavi,2001,Belagavi PS 1,15.838759,74.640125,160544,False
2,Belagavi,2002,Belagavi PS 2,15.983319,74.637686,108950,False
2,Belagavi,2003,Belagavi PS 3,15.979402,74.504755,197070,False
2,Belagavi,2004,Belagavi PS 4,15.962808,74.36745,93646,False
2,Belagavi,2005,Belagavi PS 5,15.815949,74.3491,124343,False
2,Belagavi,2006,Belagavi PS 6,15.72628,74.340784,122540,False
2,Belagavi,2007,Belagavi PS 7,15.637467,74.458152,166244,False
2,Belagavi,2008,Belagavi PS 8,15.678595,74.62066,145584,False
3,Mysuru,3001,Mysuru PS 1,12.284731,76.733726,126989,False
3,Mysuru,3002,Mysuru PS 2,12.415289,76.770642,164449,False
3,Mysuru,3003,Mysuru PS 3,12.438809,76.66207,128873,False
3,Mysuru,3004,Mysuru PS 4,12.415287,76.482955,165882,False
3,Mysuru,3005,Mysuru PS 5,12.287941,76.563692,105374,False
3,Mysuru,3006,Mysuru PS 6,12.222716,76.477638,122359,False
3,Mysuru,3007,Mysuru PS 7,12.101983,76.572573,94664,False
3,Mysuru,3008,Mysuru PS 8,12.145383,76.734788,100397,False
4,Dakshina Kannada,4001,Dakshina Kannada PS 1,12.905465,75.090409,136848,False
4,Dakshina Kannada,4002,Dakshina Kannada PS 2,12.954993,74.953628,102388,False
4,Dakshina Kannada,4003,Dakshina Kannada PS 3,13.046332,74.875734,130541,True
4,Dakshina Kannada,4004,Dakshina Kannada PS 4,13.013765,74.882247,198910,True
4,Dakshina Kannada,4005,Dakshina Kannada PS 5,12.895021,74.905996,115250,True
4,Dakshina Kannada,4006,Dakshina Kannada PS 6,12.75865,74.928308,103727,True
4,Dakshina Kannada,4007,Dakshina Kannada PS 7,12.687113,74.934031,132180,True
4,Dakshina Kannada,4008,Dakshina Kannada PS 8,12.781564,75.033366,102309,False
5,Tumakuru,5001,Tumakuru PS 1,13.365253,77.351925,84800,False
5,Tumakuru,5002,Tumakuru PS 2,13.542752,77.169224,61602,False
5,Tumakuru,5003,Tumakuru PS 3,13.447882,76.937751,128006,False
5,Tumakuru,5004,Tumakuru PS 4,13.279149,76.962605,60693,False
5,Tumakuru,5005,Tumakuru PS 5,13.100773,77.1692,67173,False
6,Kalaburagi,6001,Kalaburagi PS 1,17.351201,77.001678,78334,False
6,Kalaburagi,6002,Kalaburagi PS 2,17.543002,76.948509,103738,False
6,Kalaburagi,6003,Kalaburagi PS 3,17.417976,76.600851,111726,False
6,Kalaburagi,6004,Kalaburagi PS 4,17.164177,76.625127,64233,False
6,Kalaburagi,6005,Kalaburagi PS 5,17.076176,76.951924,106233,False
7,Davanagere,7001,Davanagere PS 1,14.455449,76.173257,122967,False
7,Davanagere,7002,Davanagere PS 2,14.600613,76.135529,121819,False
7,Davanagere,7003,Davanagere PS 3,14.589125,75.700951,73301,False
7,Davanagere,7004,Davanagere PS 4,14.404699,75.840528,98199,False
7,Davanagere,7005,Davanagere PS 5,14.328256,75.957348,77413,False
8,Shivamogga,8001,Shivamogga PS 1,13.912525,75.760779,122364,False
8,Shivamogga,8002,Shivamogga PS 2,14.091978,75.597213,59599,False
8,Shivamogga,8003,Shivamogga PS 3,14.036158,75.374099,73123,False
8,Shivamogga,8004,Shivamogga PS 4,13.763002,75.340628,120763,False
8,Shivamogga,8005,Shivamogga PS 5,13.723044,75.617696,99502,False
9,Ballari,9001,Ballari PS 1,15.147373,77.044619,75408,False
9,Ballari,9002,Ballari PS 2,15.210848,76.948244,129923,False
9,Ballari,9003,Ballari PS 3,15.278421,76.769728,70180,False
9,Ballari,9004,Ballari PS 4,15.092549,76.832212,66429,False
9,Ballari,9005,Ballari PS 5,15.027449,76.934266,124446,False
